0,22.50
1,22.50
3,22.00
4,22.00
5,22.25
6,22.25
8,22.00
9,22.25
10,22.00
11,22.00
12,22.25
14,22.00
15,22.25
16,22.00
17,22.00
18,21.25
20,21.25
21,21.25
22,21.25
23,21.00
25,21.00
26,21.00
27,21.00
28,21.75
29,20.75
31,21.00
32,21.00
33,20.75
34,21.00
35,21.00
37,21.00
38,20.75
39,20.75
40,21.25
42,20.75
43,20.75
44,21.00
45,20.75
46,20.75
48,20.50
49,20.50
50,20.50
51,20.25
52,20.50
54,20.50
55,20.25
56,20.50
57,20.50
58,20.25
60,20.25
61,20.25
62,20.25
63,20.75
65,20.25
66,20.25
67,20.25
68,20.25
69,20.25
71,20.25
72,20.25
73,20.50
74,20.25
75,20.00
77,20.25
78,20.25
79,20.25
80,20.25
82,20.25
83,20.25
84,20.25
85,20.25
86,20.25
88,20.25
89,20.25
90,20.00
91,20.00
92,20.00
94,20.00
95,20.00
96,20.25
97,19.75
99,20.00
100,20.00
101,20.25
102,20.00
103,20.25
105,20.00
106,20.00
107,20.25
108,20.00
109,20.00
111,20.00
112,19.75
113,20.00
114,20.00
116,20.00
117,20.00
118,20.00
119,20.00
120,20.00
122,19.75
123,19.75
124,20.25
125,19.75
126,19.75
128,20.00
129,19.75
130,19.75
131,19.75
133,20.00
134,20.00
135,19.75
136,19.75
137,19.50
139,19.50
140,19.75
141,19.75
142,19.50
143,19.50
145,19.75
146,19.50
147,19.75
148,19.75
150,19.75
151,19.50
152,19.50
153,19.75
154,19.75
156,19.75
157,19.75
158,19.50
159,22.75
160,23.75
162,24.50
163,25.00
164,25.50
165,25.75
167,26.00
168,26.25
169,26.50
170,26.75
171,27.00
173,27.00
174,27.00
175,27.00
176,27.25
177,27.25
179,27.50
180,27.50
181,27.50
182,27.50
184,27.50
185,27.50
186,27.75
187,26.75
188,25.25
190,25.00
191,25.25
192,25.25
193,25.00
194,24.75
196,24.50
197,24.75
198,24.25
199,24.00
201,23.75
202,23.75
203,23.75
204,23.75
205,25.75
207,48.75
208,68.25
209,87.75
210,103.50
211,120.00
213,131.25
214,139.50
